region,efficiency_change,clustering_change,density_change,component_change
Sublaterodorsal nucleus,0.0010400935029011129,-5.6373520080981804e-05,0.00375891566639296,-1
Area postrema,0.0009854336747093498,-3.640736929993687e-05,0.0036196884085157063,-1
Dorsal cochlear nucleus,-0.0007226859562814435,6.275445744329905e-05,-0.0034809017432265556,0
Ventral cochlear nucleus,-0.0015152534650611069,0.00011797490773826256,-0.00605660601395662,0
Cuneate nucleus,0.0008214541901342109,-2.5783150021300643e-05,0.003202006634883752,-1
Gracile nucleus,0.0009581037606134683,-3.9192744782573525e-05,0.0035500747795769835,-1
External cuneate nucleus,0.0008077892330862701,-1.7606834263286218e-05,0.003167199820414391,-1
Nucleus of the trapezoid body,0.0009171088894697961,-4.5026470413890565e-05,0.0034456543361690906,-1
Nucleus of the solitary tract,-0.002102846618121959,5.5442010786584864e-05,-0.007414071778260374,0
"Spinal nucleus of the trigeminal, caudal part",-0.0018022175630675625,4.569210885907185e-05,-0.006509094602057935,0
"Spinal nucleus of the trigeminal, interpolar part",0.0008897789753739146,-3.1358868849256695e-05,0.003376040707230368,-1
"Spinal nucleus of the trigeminal, oral part",0.0009034439324218554,-2.7067431250997806e-05,0.0034108475216997293,-1
Paratrigeminal nucleus,0.0009171088894697961,-3.332434918663213e-05,0.0034456543361690906,-1
Abducens nucleus,0.0012040729874762519,-8.741106868067181e-05,0.004176597440024915,-1
Facial motor nucleus,0.0008077892330862701,-3.0669507199484574e-05,0.003167199820414391,-1
Accessory facial motor nucleus,0.0013543875150034501,-0.00010522146817546274,0.004559472399187507,-1
Nucleus ambiguus,0.001135748202236548,-6.514278490377687e-05,0.004002563367678299,-1
Dorsal motor nucleus of the vagus nerve,0.001135748202236548,-6.215209189124422e-05,0.004002563367678299,-1
Gigantocellular reticular nucleus,-0.0022394961886012163,5.4009347235530745e-05,-0.007762139922953605,0
Infracerebellar nucleus,0.0013133926438596278,-9.170596668399101e-05,0.004455051955779423,-1
Inferior olivary complex,-0.0012829491952464141,0.0002826920905851591,-0.005221242466692903,0
Intermediate reticular nucleus,-0.0013102791093422958,5.848385470071365e-05,-0.004977594765407565,0
Inferior salivatory nucleus,0.0014500422143388853,-0.00013480451033037914,0.0048031201004728455,-1
Linear nucleus of the medulla,0.0010264285458531721,-3.343154364838096e-05,0.0037241088519235992,-1
Lateral reticular nucleus,0.0008214541901342109,-3.804538242912145e-05,0.003202006634883752,-1
Magnocellular reticular nucleus,0.0008351191471821516,-3.704606829738944e-05,0.0032368134493531136,-1
Medullary reticular nucleus,-0.0022394961886012163,5.4009347235530745e-05,-0.007762139922953605,0
"Medullary reticular nucleus, dorsal part",0.0008761140183259739,-3.00913303616459e-05,0.0033412338927610065,-1
"Medullary reticular nucleus, ventral part",0.0008624490612780332,-3.495458616419153e-05,0.0033064270782918364,-1
Parvicellular reticular nucleus,-0.00025807741665190813,0.00043875313368193597,-0.0016013337618829538,0
Parasolitary nucleus,0.0009854336747093498,-2.518205129363667e-05,0.0036196884085157063,-1
"Paragigantocellular reticular nucleus, dorsal part",0.0009717687176614091,-3.862599563901614e-05,0.003584881594046345,-1
"Paragigantocellular reticular nucleus, lateral part",0.0008214541901342109,-3.740999334421073e-05,0.003202006634883752,-1
Nucleus of Roller,0.0012860627297637463,-8.98266777217059e-05,0.004385438326840891,-1
